region,country,gdp_per_capita,gdp_growth,exports_gdp_pct,imports_gdp_pct,agriculture_land_pct,unemployment_rate,industry_value_added_pct,household_consumption_pct,population_total,urban_population_pct,life_expectancy,infant_mortality,population_65plus_pct,health_expenditure_pc,health_expenditure_gdp,hospital_beds_per_1k,maternal_mortality,access_to_safe_water,primary_enrollment,secondary_enrollment,tertiary_enrollment,adult_literacy_rate,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law,voice_and_accountability,electricity_access_pct,internet_users_pct,air_passengers,co2_emissions_pc
Sub-Saharan Africa,Ethiopia,757.7820148840477,7.796510945867582,7.992032277400384,21.032895364630857,33.6114023561653,3.0795454545454546,22.271828479561982,71.59689581248847,116087357.0909091,21.26709090909091,65.1956,42.24,3.046044130237789,24.913813485555554,3.444262901111111,0.315,299.8,45.80202062843199,94.40164801778832,33.9114221981431,5.9192507771213,54.47153150198015,-0.4598524421453476,-0.675759959220886,-1.6686885476112359,-1.0058100044727323,-0.5232417166233063,-1.185882055759432,45.23,14.648725,8412056.25,0.14104931873700638
Sub-Saharan Africa,"Gambia, The",669.7659619704323,4.068935148844014,13.82261989617421,35.07089023301326,62.944664031620555,6.072454545454545,16.677269797370084,86.20785604526881,2459776.090909091,61.88018181818182,64.0086,39.23,2.765623096286658,22.915910951111112,3.27731119,1.0516666666666667,445.8,83.29817515106835,92.08541970305014,107.027125590442,13.4765901565552,51.859999338785805,-0.5287856966257095,-0.7616154074668884,-0.022971348371356663,-0.6566487699747084,-0.5184710562229158,-0.5462473992258303,60.09,29.67728,77885.08997258916,0.22618642653164986
Europe & Central Asia,Georgia,4999.616292358594,5.460677732001352,45.35274328228969,58.08447103290277,34.355015110087784,13.355,20.060539102976566,73.56708643954,3716370,59.069545454545455,73.4848,8.45,14.722499149211664,351.26504855666667,7.4826586511111115,3.994285714285714,29.5,94.19631680191674,102.89249211387414,106.86036287106927,66.29895018399789,99.69088904299572,0.6944089889526366,0.5648725390434265,-0.4066041022539139,0.9413432657718662,0.2279334977269171,0.1633356934413314,99.99,65.59716,271811.875,3.089001408381617
Sub-Saharan Africa,Ghana,1934.1215303069123,4.309766738579115,32.84595360425981,35.9454840702451,54.64826071654973,3.826,30.270230637786753,76.83322781096625,31251840,56.679,64.129,33.38,3.4713282061856465,74.92029910666666,3.5905553255555556,0.7,273.6,84.16088440538867,99.96082068053099,70.2632334116844,17.60768878282664,67.0666287813498,-0.1500775694847107,-0.2251425571739674,-0.010091488622129033,-0.16761539131402978,0.002007442153990296,0.5070256859064102,82.08,44.33802,473125.625,0.6399319936367416
Latin America & Caribbean,Guatemala,4133.944848120698,3.576751387698203,18.183780817892867,30.036358592333784,42.320735349010825,2.498818181818182,22.278328150556202,85.72745256768916,17070374.727272727,51.49854545454546,70.9427,20.8,4.447813905779135,281.52840847444446,6.3620755411111105,0.49142857142857144,107.1,93.14525510077318,102.52147241482064,51.43251972240743,22.516762483867623,81.74734231097699,-0.9512608587741844,-0.7624791860580444,-0.4940421923995019,-0.3087427407503128,-1.0609337210655216,-0.3841336250305176,94.43,42.03322,88797.454375,1.0861534307824314
Latin America & Caribbean,Honduras,2388.4884431537316,3.35565977077683,40.800786711656066,60.91318002063703,31.23246045222987,7.019909090909091,25.898322323631945,81.87594898315669,9941248.181818182,57.704181818181816,71.5855,15.41,3.866031897934468,196.53051588222223,7.900363868888888,0.6425,56.8,94.16026286956173,84.81279639951885,53.92962842101466,22.88458617345413,87.92955134452706,-0.8522014617919927,-0.7330879986286163,-0.5214713841676711,-0.4818424254655838,-1.0392809033393864,-0.4958371818065644,91.67,39.87004,292130,1.0099868593566033
South Asia,India,1900.7732461501841,6.179969992784107,20.480294725429395,22.98451021365889,60.224069097501335,6.556454545454545,25.988017495875347,60.04930250870787,1385349359.1818182,34.53336363636364,70.0335,30.89,6.201412754681663,63.102299584444445,3.2734613944444444,1.66,113.4,90.96156408944822,110.59676462491242,77.26226093600077,29.686493772248454,76.3735526365395,-0.3324760556221009,0.1821833278983831,-0.8264365196228028,-0.22515478171408174,-0.015903225017245892,0.2655721735209227,94.09,26.501275,115679523.178125,1.8049916161891815
East Asia & Pacific,Indonesia,3741.5511799895353,4.291214915297675,20.988593829333805,19.924795191985268,28.396949500544775,3.8887272727272726,39.85381398958868,56.54867116389101,271833945.1818182,55.95881818181818,69.7267,19.8,6.527595217544048,117.99909464666666,3.042382531111111,1.18625,177,91.01694145623352,102.78797219641113,93.21399591996746,37.27215410345757,95.4760009765625,-0.4485642075538636,0.14970368426293149,-0.4927625983953474,0.08481568526476627,-0.30486969500780103,0.14633072167634972,98.32,46.262645454545456,82566114.02946734,2.1534869350167822
Middle East & North Africa,"Iran, Islamic Rep.",5301.496084283669,2.7396795051899505,23.29320978567871,24.06158348355304,28.714893015307172,10.538,36.30072692898054,48.481871376581104,86728150.63636364,75.33927272727273,75.9915,12.42,6.974563358415137,315.59806145666664,6.693972428888888,1.8716666666666666,24.5,97.18265237916651,104.823055267334,83.318572998046875,61.89048682318791,86.96030343929728,-0.9480366706848143,-0.605918149650097,-1.320477175712585,-1.450131320953369,-0.8807907342910769,-1.431238794326782,99.99,65.74684,18219107.101016562,8.016672055470806
Europe & Central Asia,Italy,31986.50550849739,1.0277447971366407,30.88479600214856,28.656062780830386,43.3795792292075,9.924909090909091,21.410433473556544,59.05106405025301,59646428.63636363,70.75609090909091,82.9909756097561,2.68,23.11990901117132,3007.788159181,8.898047351,3.197142857142857,7.7,99.9170340740928,101.84514923095706,101.3074600219727,66.58856658935547,99.3499984741211,0.2843107528984546,0.4604718446731569,0.4177137792110443,0.6567281186580659,0.3043454363942146,1.0257446527481089,100,71.55223636363637,22057596.375,5.582555877050119
